소속기관명,시설명,계측가능여부,임차여부,연료명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
시립박물관,정관박물관,Y,N,도시가스(LNG),49.789,56.833,40.886,23.976,8.357,2.056,0,0,0,0,1.225,16.538
시립박물관,정관박물관,Y,N,전력,15.342,13.499,9.083,8.054,6.096,7.198,13.44,13.241,17.237,11.329,7.565,8.683
시립박물관,시립박물관 휘발유차량,Y,N,휘발유,0,0,0,0,0,0,0,0,0,0,0,0
시립박물관,정관박물관 경유차량,Y,N,가스/디젤 오일(경유),0,0.159,0,0,0.106,0,0,0,0,0,0,0
체육시설관리사업소,종합운동장,Y,N,도시가스(LNG),87.158,89.398,68.821,221.716,56.516,42.24,39.134,13.574,21.847,12.305,54.595,132.721
체육시설관리사업소,종합운동장,Y,N,전력,171.039,259.849,156.041,229.779,152.63,157.137,202.128,208.575,212.829,170.127,220.361,206.406
체육시설관리사업소,구덕운동장,Y,N,가스/디젤 오일(경유),0.013,0,0,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
체육시설관리사업소,구덕운동장,Y,N,전력,14.675,13.527,12.118,12.696,9.97,11.952,12.349,13.77,12.632,13.606,12.247,10.769
체육시설관리사업소,요트경기장,Y,N,실내 등유,0.124,0.074,0.062,0.062,0.037,0.185,0.124,0.106,0.064,0.049,0.074,0.074
체육시설관리사업소,요트경기장,Y,N,전력,71.225,70.749,54.516,43.68,34.536,34.12,37.043,56.276,44.732,37.788,35.276,47.453
체육시설관리사업소,강서체육공원,Y,N,도시가스(LNG),3.513,5.952,23.915,0.984,2.544,15.523,28.725,24.938,12.775,14.876,21.062,25.214
체육시설관리사업소,강서체육공원,Y,N,전력,17.878,18.988,17.254,16.783,10.152,17.029,30.43,44.391,42.262,27.512,28.892,19.791
체육시설관리사업소,영도사격장,Y,N,전력,3.039,2.128,3.886,3.295,2.65,1.869,2.147,2.662,4.567,5.347,3.494,2.548
체육시설관리사업소,기장체육관,Y,N,도시가스(LNG),0.09,3.211,19.126,0,0,0,12.397,58.207,0,0,0,23.512
체육시설관리사업소,기장체육관,Y,N,전력,6.592,10.652,7.385,6.046,5.806,5.755,9.569,12.347,11.603,8.551,6.616,6.955
체육시설관리사업소,종합운동장 휘발유차량,Y,N,휘발유,0.297,0.154,0.22,0.231,0.231,0.231,,0.231,0.231,0.231,0.154,0.237
체육시설관리사업소,종합운동장 경유차량,Y,N,가스/디젤 오일(경유),0.475,0,1.051,0.252,0.287,0.73,1.218,0.318,0.292,0.833,0.969,0.87
체육시설관리사업소,요트경기장 휘발유차량,Y,N,휘발유,0,0,0,0.037,0.004,0,0,0.02,0.048,0,0.024,0.018
체육시설관리사업소,구덕운동장 경유자동차,Y,N,가스/디젤 오일(경유),0,0.093,0,0.066,0,0.035,0.111,0,0,0.109,0,0
체육시설관리사업소,강서체육공원 경유자동차,Y,N,가스/디젤 오일(경유),0.061,0.048,0.061,0.093,0.147,0.048,0.04,0.088,0.042,0.114,0.056,0.088
금련산청소년수련원,금련산청소년수련원,Y,N,보일러 등유,2.473,4.945,0,0,0.742,0,0,0,0,0,0,0.247
